merchant_name,category_id,category_name
Fresh breeze,57552,Пластик для 3D-печати
Smart Technology,57552,Пластик для 3D-печати
Tehnogrup KZ,57552,Пластик для 3D-печати
VideoHub,57552,Пластик для 3D-печати
_ALGA_,57552,Пластик для 3D-печати
О'КЕЙ,57552,Пластик для 3D-печати
Симба,57552,Пластик для 3D-печати
Tehnogrup KZ,57600,Фотополимерные смолы для 3D-печати
Tehnogrup KZ,93826,3D Сканеры
EAST BREEZE,87101,Автоподатчики для принтеров и МФУ
Fora,87101,Автоподатчики для принтеров и МФУ
Fresh breeze,87101,Автоподатчики для принтеров и МФУ
MegaNetwork.kz,87101,Автоподатчики для принтеров и МФУ
PRINTERSHOP.KZ,87101,Автоподатчики для принтеров и МФУ
Smart Technology,87101,Автоподатчики для принтеров и МФУ
_ALGA_,87101,Автоподатчики для принтеров и МФУ
ИП QPICK,87101,Автоподатчики для принтеров и МФУ
О'КЕЙ,87101,Автоподатчики для принтеров и МФУ
Tehnogrup KZ,93902,Аксессуары для 3D-принтеров
EAST BREEZE,86282,Емкости для отработанных чернил
Fora,86282,Емкости для отработанных чернил
Fresh breeze,86282,Емкости для отработанных чернил
M-Technics.kz,86282,Емкости для отработанных чернил
MEGA,86282,Емкости для отработанных чернил
MegaNetwork.kz,86282,Емкости для отработанных чернил
PRINTERSHOP.KZ,86282,Емкости для отработанных чернил
Qural-Saiman,86282,Емкости для отработанных чернил
Sauda24.kz,86282,Емкости для отработанных чернил
Smart Technology,86282,Емкости для отработанных чернил
_ALGA_,86282,Емкости для отработанных чернил
ИП QPICK,86282,Емкости для отработанных чернил
Казахтелеком Магазин,86282,Емкости для отработанных чернил
О'КЕЙ,86282,Емкости для отработанных чернил
2People,85979,Запчасти и комплектующие для принтеров
EAST BREEZE,85979,Запчасти и комплектующие для принтеров
Fora,85979,Запчасти и комплектующие для принтеров
Fresh breeze,85979,Запчасти и комплектующие для принтеров
IT-Sale Kazakhstan,85979,Запчасти и комплектующие для принтеров
MegaNetwork.kz,85979,Запчасти и комплектующие для принтеров
PRINTERSHOP.KZ,85979,Запчасти и комплектующие для принтеров
SENDE.bar,85979,Запчасти и комплектующие для принтеров
Sauda24.kz,85979,Запчасти и комплектующие для принтеров
Smart Technology,85979,Запчасти и комплектующие для принтеров
SmartLife,85979,Запчасти и комплектующие для принтеров
Smartshop,85979,Запчасти и комплектующие для принтеров
Tehnogrup KZ,85979,Запчасти и комплектующие для принтеров
_ALGA_,85979,Запчасти и комплектующие для принтеров
ИП QPICK,85979,Запчасти и комплектующие для принтеров
Казахтелеком Магазин,85979,Запчасти и комплектующие для принтеров
Мак сервис,85979,Запчасти и комплектующие для принтеров
О'КЕЙ,85979,Запчасти и комплектующие для принтеров
EAST BREEZE,95033,Запчасти и комплектующие для сканеров
Fora,95033,Запчасти и комплектующие для сканеров
Fresh breeze,95033,Запчасти и комплектующие для сканеров
MegaNetwork.kz,95033,Запчасти и комплектующие для сканеров
Smart Technology,95033,Запчасти и комплектующие для сканеров
_ALGA_,95033,Запчасти и комплектующие для сканеров
О'КЕЙ,95033,Запчасти и комплектующие для сканеров
EAST BREEZE,95035,Масла и смазки для оргтехники
Fora,95035,Масла и смазки для оргтехники
